,作战名称,活动名称,作战开放时间,作战理智消耗,样本数,源岩掉落数,源岩单件期望理智,代糖掉落数,代糖单件期望理智,酯原料掉落数,酯原料单件期望理智,异铁碎片掉落数,异铁碎片单件期望理智,双酮掉落数,双酮单件期望理智,破损装置掉落数,破损装置单件期望理智
66,HE-2,空想花庭,2023-06-08 16:00:00+08:00,9,27668,17316,14.380457380457381,11539,21.580032931796516,11384,21.873858046380885,9097,27.372980103330768,9236,26.96102208748376,6978,35.68529664660361
67,HE-3,空想花庭,2023-06-08 16:00:00+08:00,9,57315,35840,14.392717633928571,23868,21.611990950226243,23723,21.7440880158496,18907,27.28275241973872,18863,27.3463924084186,14379,35.874191529313585
68,LE-1,尘影余音・复刻,2023-06-20 16:00:00+08:00,9,24192,15063,14.45449113722366,10006,21.759744153507896,9955,21.871220492214967,7979,27.287630028825667,7968,27.325301204819276,6027,36.12543554006969
69,LE-2,尘影余音・复刻,2023-06-20 16:00:00+08:00,9,10536,6563,14.44827060795368,4352,21.78860294117647,4303,22.036718568440623,3573,26.53904282115869,3534,26.831918505942276,2526,37.53919239904988
70,FD-1,眠于树影之中,2023-07-06 16:00:00+08:00,9,16352,10303,14.283994952926331,6741,21.83177570093458,6853,21.47497446373851,5453,26.98844672657253,5446,27.02313624678663,4000,36.792
71,FD-2,眠于树影之中,2023-07-06 16:00:00+08:00,9,6551,4057,14.532659600690165,2753,21.416273156556485,2661,22.156708004509582,2192,26.89735401459854,2208,26.702445652173914,1637,36.01649358582773
72,FD-3,眠于树影之中,2023-07-06 16:00:00+08:00,12,8824,7392,14.324675324675324,4876,21.716160787530765,4973,21.292579931630808,3908,27.095189355168884,3875,27.325935483870968,2934,36.08997955010225
73,FD-4,眠于树影之中,2023-07-06 16:00:00+08:00,12,7686,6380,14.456426332288402,4278,21.55960729312763,4291,21.494290375203914,3402,27.11111111111111,3398,27.143025309005296,2581,35.73498643936459
74,DV-1,绿野幻梦・复刻,2023-07-18 16:00:00+08:00,9,26398,16484,14.412885222033488,10997,21.604255706101664,10971,21.655455291222314,8551,27.784118816512688,8751,27.149125814192665,6455,36.80588690937258
75,DV-2,绿野幻梦・复刻,2023-07-18 16:00:00+08:00,9,15063,9382,14.449690897463228,6241,21.721999679538534,6142,22.07212634321068,5105,26.555729676787465,5057,26.807791180541823,3764,36.01673751328374
