,作战名称,活动名称,作战开放时间,作战理智消耗,作战掉落物品名称,掉落数,样本数,作战掉落物品数量,单位理智掉落物品数量,单件期望理智
156,HE-7,空想花庭・复刻,2024-06-25 16:00:00+08:00,21,凝胶,2417658,3440824,0.7026392515281223,0.03345901197752964,29.88731408660778
157,HE-8,空想花庭・复刻,2024-06-25 16:00:00+08:00,21,RMA70-12,2345427,4021690,0.5831943784826776,0.027771160880127505,36.008577542596726
158,AS-7,太阳甩在身后,2024-08-01 16:00:00+08:00,21,异铁组,5170460,6641844,0.7784675460610035,0.037069883145762074,26.97607640326006
159,AS-8,太阳甩在身后,2024-08-01 16:00:00+08:00,21,研磨石,5334356,7884042,0.6766016720864755,0.03221912724221312,31.037463941289257
160,AS-9,太阳甩在身后,2024-08-01 16:00:00+08:00,21,环烃聚质,3597547,6171119,0.5829650991983788,0.02776024281897042,36.022739661219155
161,SL-6,火山旅梦・复刻,2024-08-22 16:00:00+08:00,21,酮凝集组,127270,163423,0.778776549200541,0.03708459758097814,26.965372829417774
162,SL-7,火山旅梦・复刻,2024-08-22 16:00:00+08:00,21,晶体元件,231512,264537,0.8751592404843179,0.04167424954687228,23.995633055737933
163,SL-8,火山旅梦・复刻,2024-08-22 16:00:00+08:00,21,轻锰矿,245821,316237,0.7773315582933054,0.037015788490157395,27.015499082665844
164,DT-6,泰拉饭,2024-09-02 16:00:00+08:00,21,聚酸酯组,1871656,1925993,0.9717875402454734,0.046275597154546357,21.609661711340117
165,DT-7,泰拉饭,2024-09-02 16:00:00+08:00,21,炽合金,3297704,3957604,0.833257698344756,0.039678938016416955,25.20228740966442
166,DT-8,泰拉饭,2024-09-02 16:00:00+08:00,21,褐素纤维,3263346,5036667,0.6479177598995526,0.030853226661883455,32.411520874587005
167,CV-6,不义之财・复刻,2024-09-19 16:00:00+08:00,21,糖组,455239,468250,0.972213561131874,0.04629588386342257,21.600192426395804
168,CV-7,不义之财・复刻,2024-09-19 16:00:00+08:00,21,研磨石,677328,1000203,0.6771905303223446,0.03224716811058784,31.01047498405499
169,CV-8,不义之财・复刻,2024-09-19 16:00:00+08:00,21,转质盐组,228570,366243,0.6240938393361785,0.029718754254103735,33.648785929912066
170,GO-7,追迹日落以西,2024-10-09 16:00:00+08:00,21,固源岩组,151032,137921,1.0950616657361822,0.05214579360648487,19.177002224694103
171,GO-8,追迹日落以西,2024-10-09 16:00:00+08:00,21,凝胶,54365,77345,0.7028896502682785,0.033470935727060884,29.876666973236453
172,GO-9,追迹日落以西,2024-10-09 16:00:00+08:00,21,半自然溶剂,25006,35563,0.7031465286955544,0.03348316803312164,29.865752219467325
