作战名称,活动名称,作战开放时间,作战理智消耗,作战掉落物品名称,掉落数,样本数,作战掉落物品数量,单位理智掉落物品数量
LE-5,尘影余音?复刻,2023-06-20 16:00:00+08:00,18,糖组,859425,1032060,0.8327277483867217,0.046262652688151204
LE-6,尘影余音?复刻,2023-06-20 16:00:00+08:00,21,研磨石,3791790,5603884,0.6766360617029189,0.03222076484299614
LE-7,尘影余音?复刻,2023-06-20 16:00:00+08:00,21,半自然溶剂,280541,401552,0.6986417699326612,0.033268655711079106
DV-6,绿野幻梦?复刻,2023-07-18 16:00:00+08:00,21,聚酸酯组,1691424,1740127,0.9720118129308952,0.04628627680623311
DV-7,绿野幻梦?复刻,2023-07-18 16:00:00+08:00,21,扭转醇,3246658,3526208,0.9207222035682524,0.043843914455631065
DV-8,绿野幻梦?复刻,2023-07-18 16:00:00+08:00,21,炽合金,789927,948557,0.8327670345588088,0.03965557307422899
SL-6,火山旅梦,2023-08-01 16:00:00+08:00,21,酮凝集组,5725563,7355679,0.7783867403675446,0.03706603525559736
SL-7,火山旅梦,2023-08-01 16:00:00+08:00,21,晶体元件,5354272,6120566,0.8748001410327084,0.041657149572986114
SL-8,火山旅梦,2023-08-01 16:00:00+08:00,21,轻锰矿,7971823,10241794,0.7783619744743938,0.037064855927352085
IC-7,理想城：长夏狂欢季?复刻,2023-08-31 16:00:00+08:00,21,酮凝集组,246819,317058,0.7784664004693148,0.037069828593776895
IC-8,理想城：长夏狂欢季?复刻,2023-08-31 16:00:00+08:00,21,凝胶,1623858,2312296,0.702270816539059,0.033441467454240904
IC-9,理想城：长夏狂欢季?复刻,2023-08-31 16:00:00+08:00,21,RMA70-12,1903985,3266116,0.582950819872901,0.027759562851090522
CV-6,不义之财,2023-09-05 16:00:00+08:00,21,糖组,2076512,2137030,0.9716812585691357,0.04627053612233979
CV-7,不义之财,2023-09-05 16:00:00+08:00,21,研磨石,3128673,4623640,0.6766688150461541,0.03222232452600734
CV-8,不义之财,2023-09-05 16:00:00+08:00,21,转质盐组,837905,1341614,0.6245499823347103,0.029740475349271916
IS-8,叙拉古人?复刻,2023-10-22 16:00:00+08:00,21,固源岩组,5411533,4948023,1.093675797384127,0.05207979987543462
IS-9,叙拉古人?复刻,2023-10-22 16:00:00+08:00,21,化合切削液,461316,658598,0.7004515652947625,0.03335483644260774
IS-10,叙拉古人?复刻,2023-10-22 16:00:00+08:00,21,炽合金,1571150,1887297,0.8324868846821671,0.03964223260391272
RS-6,银心湖列车,2023-12-05 16:00:00+08:00,21,聚酸酯组,4078808,4196827,0.9718789933442574,0.04627995206401226
RS-7,银心湖列车,2023-12-05 16:00:00+08:00,21,轻锰矿,4242907,5452314,0.7781846386690128,0.03705641136519108
RS-8,银心湖列车,2023-12-05 16:00:00+08:00,21,晶体元件,1250044,1427324,0.8757955446696055,0.041704549746171694
FC-5,照我以火?复刻,2023-12-22 16:00:00+08:00,21,糖组,1577424,1622856,0.9720049098626126,0.046285948088695836
FC-6,照我以火?复刻,2023-12-22 16:00:00+08:00,21,异铁组,3563282,4577287,0.7784703034788948,0.03707001445137594
FC-7,照我以火?复刻,2023-12-22 16:00:00+08:00,21,半自然溶剂,388301,555158,0.6994423209248538,0.0333067771868978
WB-7,登临意?复刻,2024-01-18 16:00:00+08:00,21,酮凝集组,3067556,3939881,0.7785910285107596,0.03707576326241712
WB-8,登临意?复刻,2024-01-18 16:00:00+08:00,21,轻锰矿,1550794,1992479,0.778323886976977,0.037063042236998904
WB-9,登临意?复刻,2024-01-18 16:00:00+08:00,21,晶体元件,1119571,1280716,0.8741758516329928,0.041627421506332994
HS-7,怀黍离,2024-02-01 16:00:00+08:00,21,固源岩组,5385338,4923757,1.0937456905367182,0.05208312812079611
HS-8,怀黍离,2024-02-01 16:00:00+08:00,21,扭转醇,4001041,4344298,0.9209867739275712,0.043856513044170056
HS-9,怀黍离,2024-02-01 16:00:00+08:00,21,RMA70-12,6892613,11828009,0.5827365366394294,0.027749358887591873
CR-6,水晶箭行动,2024-03-07 16:00:00+08:00,21,聚酸酯组,690623,710872,0.9715152657581112,0.0462626317027672
CR-7,水晶箭行动,2024-03-07 16:00:00+08:00,21,炽合金,5319992,6387537,0.8328706354264562,0.03966050644887887
CR-8,水晶箭行动,2024-03-07 16:00:00+08:00,21,全新装置,4646907,7975553,0.5826438618112123,0.02774494580053392
OD-7,源石尘行动?复刻,2024-03-21 16:00:00+08:00,18,轻锰矿,492773,734288,0.6710895452465517,0.037282752513697316
OD-8,源石尘行动?复刻,2024-03-21 16:00:00+08:00,18,研磨石,4392122,7608231,0.5772855740053108,0.03207142077807282
BB-6,巴别塔,2024-04-11 16:00:00+08:00,21,固源岩组,2499103,2283903,1.0942246671596823,0.05210593653141344
BB-7,巴别塔,2024-04-11 16:00:00+08:00,21,异铁组,5634620,7239761,0.7782881230471559,0.03706133919272171
BB-8,巴别塔,2024-04-11 16:00:00+08:00,21,凝胶,6160014,8773087,0.7021489699121871,0.03343566523391367
CW-8,孤星?复刻,2024-05-24 16:00:00+08:00,21,酮凝集组,1034311,1329212,0.7781384760294069,0.03705421314425747
CW-9,孤星?复刻,2024-05-24 16:00:00+08:00,21,半自然溶剂,644316,918821,0.7012421353016529,0.033392482633412046
CW-10,孤星?复刻,2024-05-24 16:00:00+08:00,21,炽合金,7159426,8598243,0.8326615100317588,0.03965054809675042
BP-5,生路,2024-06-05 16:00:00+08:00,21,晶体元件,2680908,3063233,0.8751890567906522,0.04167566937098344
BP-6,生路,2024-06-05 16:00:00+08:00,21,糖组,5771626,5939091,0.9718029240501619,0.04627632971667438
BP-7,生路,2024-06-05 16:00:00+08:00,21,扭转醇,8954720,9723583,0.9209280159381578,0.04385371504467418
HE-6,空想花庭?复刻,2024-06-25 16:00:00+08:00,21,固源岩组,1740949,1591847,1.093666036999787,0.052079335095227955
HE-7,空想花庭?复刻,2024-06-25 16:00:00+08:00,21,凝胶,2417658,3440824,0.7026392515281223,0.03345901197752964
HE-8,空想花庭?复刻,2024-06-25 16:00:00+08:00,21,RMA70-12,2345427,4021690,0.5831943784826776,0.027771160880127505
AS-7,太阳甩在身后,2024-08-01 16:00:00+08:00,21,异铁组,5170460,6641844,0.7784675460610035,0.037069883145762074
AS-8,太阳甩在身后,2024-08-01 16:00:00+08:00,21,研磨石,5334356,7884042,0.6766016720864755,0.03221912724221312
AS-9,太阳甩在身后,2024-08-01 16:00:00+08:00,21,环烃聚质,3597547,6171119,0.5829650991983788,0.02776024281897042
SL-6,火山旅梦?复刻,2024-08-22 16:00:00+08:00,21,酮凝集组,127270,163423,0.778776549200541,0.03708459758097814
SL-7,火山旅梦?复刻,2024-08-22 16:00:00+08:00,21,晶体元件,231512,264537,0.8751592404843179,0.04167424954687228
SL-8,火山旅梦?复刻,2024-08-22 16:00:00+08:00,21,轻锰矿,245821,316237,0.7773315582933054,0.037015788490157395
DT-6,泰拉饭,2024-09-02 16:00:00+08:00,21,聚酸酯组,1871656,1925993,0.9717875402454734,0.046275597154546357
DT-7,泰拉饭,2024-09-02 16:00:00+08:00,21,炽合金,3297704,3957604,0.833257698344756,0.039678938016416955
DT-8,泰拉饭,2024-09-02 16:00:00+08:00,21,褐素纤维,3263346,5036667,0.6479177598995526,0.030853226661883455
CV-6,不义之财?复刻,2024-09-19 16:00:00+08:00,21,糖组,455239,468250,0.972213561131874,0.04629588386342257
CV-7,不义之财?复刻,2024-09-19 16:00:00+08:00,21,研磨石,677328,1000203,0.6771905303223446,0.03224716811058784
CV-8,不义之财?复刻,2024-09-19 16:00:00+08:00,21,转质盐组,228570,366243,0.6240938393361785,0.029718754254103735
GO-7,追迹日落以西,2024-10-09 16:00:00+08:00,21,固源岩组,127511,116427,1.095201284925318,0.05215244213930086
GO-8,追迹日落以西,2024-10-09 16:00:00+08:00,21,凝胶,45160,64234,0.703054457141078,0.033478783673384666
GO-9,追迹日落以西,2024-10-09 16:00:00+08:00,21,半自然溶剂,20643,29333,0.7037466334844714,0.0335117444516415
