,作战名称,活动名称,作战开放时间,作战理智消耗,样本数,主掉落物品名称,主掉落数,单次作战主掉落数量,单位理智主掉落数量,主掉落单件期望理智,副掉落物品名称,副掉落数,单次作战副掉落数量,单位理智副掉落数量,副掉落单件期望理智,理论副掉落数
22,WD-3,遗尘漫步,2021-04-15 16:00:00+08:00,12,70,酮凝集,65,0.6428571428571429,0.053571428571428575,18.666666666666664,糖,45,0.6428571428571429,0.053571428571428575,18.666666666666664,38.94054029313405
8,GT-3,骑兵与猎人・复刻,2020-10-01 16:00:00+08:00,12,42,异铁,41,0.6428571428571429,0.053571428571428575,18.666666666666664,糖,27,0.6428571428571429,0.053571428571428575,18.666666666666664,23.364324175880427
24,WD-5,遗尘漫步,2021-04-15 16:00:00+08:00,12,786,装置,587,0.6437659033078881,0.05364715860899067,18.640316205533598,糖,506,0.6437659033078881,0.05364715860899067,18.640316205533598,437.24663814861947
51,WD-5,遗尘漫步・复刻,2022-03-29 16:00:00+08:00,12,1156,装置,884,0.6522491349480969,0.054354094579008076,18.39787798408488,糖,754,0.6522491349480969,0.054354094579008076,18.39787798408488,643.0752082694709
49,WD-3,遗尘漫步・复刻,2022-03-29 16:00:00+08:00,12,24,酮凝集,17,0.7083333333333334,0.05902777777777778,16.941176470588236,糖,17,0.7083333333333334,0.05902777777777778,16.941176470588236,13.351042386217388
58,DV-3,绿野幻梦,2022-07-05 16:00:00+08:00,12,21129,装置,14053,0.5505229778976761,0.045876914824806346,21.7974552957359,聚酸酯,11632,0.5505229778976761,0.045876914824806346,21.7974552957359,11750.49599329328
70,IS-5,叙拉古人,2022-11-01 16:00:00+08:00,12,24399,酮凝集,21671,0.5528095413746466,0.046067461781220544,21.70729537366548,聚酸酯,13488,0.5528095413746466,0.046067461781220544,21.70729537366548,13569.044996940827
61,IC-3,理想城：长夏狂欢季,2022-08-11 16:00:00+08:00,12,109368,固源岩,182434,0.5537542974178918,0.04614619145149099,21.670260720241735,聚酸酯,60563,0.5537542974178918,0.04614619145149099,21.670260720241735,60822.95640089447
146,CV-4,不义之财・复刻,2024-09-19 16:00:00+08:00,12,418713,固源岩,697732,0.5555093823215425,0.046292448526795205,21.601795364554448,聚酸酯,232599,0.5555093823215425,0.046292448526795205,21.601795364554448,232859.36053953378
9,GT-4,骑兵与猎人・复刻,2020-10-01 16:00:00+08:00,12,81,酮凝集,75,0.5555555555555556,0.0462962962962963,21.599999999999998,聚酸酯,45,0.5555555555555556,0.0462962962962963,21.599999999999998,45.04662669585667
96,DV-3,绿野幻梦・复刻,2023-07-18 16:00:00+08:00,12,98795,装置,66380,0.5559188218027228,0.04632656848356023,21.585885437529587,聚酸酯,54922,0.5559188218027228,0.04632656848356023,21.585885437529587,54942.98128910074
135,BP-4,生路,2024-06-05 16:00:00+08:00,12,5300917,固源岩,8837033,0.5561845243002296,0.04634871035835247,21.575573349686326,聚酸酯,2948288,0.5561845243002296,0.04634871035835247,21.575573349686326,2948005.2993175364
